protein,pearson_correlation,protein_uniprot
CYP51A1,,Q16850
CYP7A1,,P22680
CYP7B1,,O75881
CYP8B1,,Q9UNU6
CYSLTR1,,Q9Y271
CYSLTR2,,Q9NS75
CYTH1,,Q15438
CYTH2,,Q99418
CYTH3,,O43739
CYTH4,,Q9UIA0
DACH1,,Q9UI36
DACH2,,Q96NX9
DAG1,,Q14118
DAGLA,,Q9Y4D2
DAGLB,,Q8NCG7
DAO,,P14920
DAPK1,,P53355
DAPK2,,Q9UIK4
DAPK3,,O43293
DARS,,None
DARS2,,Q6PI48
DAXX,,Q9UER7
DBH,,P09172
DBP,,Q10586
DBX1,,A6NMT0
DBX2,,Q6ZNG2
DCC,,P43146
DCK,,P27707
DCLK2,,Q8N568
DCP2,,Q8IU60
DCTD,,P32321
DDAH1,,O94760
DDAH2,,O95865
DDC,,P20711
DDIT3,0.025738353522998466,P35638
DDR1,,Q08345
DDR2,,Q16832
DDX17,,Q92841
DDX20,,Q9UHI6
DDX5,,P17844
DDX54,,Q8TDD1
DEAF1,,O75398
DEK,,P35659
DFFA,,O00273
DGAT1,,O75907
DGAT2,,Q96PD7
DGKA,,P23743
DHCR24,,Q15392
DHCR7,,Q9UBM7
DHFR,,P00374
DHFR2,,Q86XF0
DHFRP1,,DHFRP1
DHH,,O43323
DHODH,,Q02127
DHPS,,P49366
DHX58,,Q96C10
DHX9,,Q08211
DIO1,,P49895
DIO2,,Q92813
DIRAS1,,O95057
DIRAS2,,Q96HU8
DKK1,,O94907
DLAT,,P10515
DLD,,P09622
DLG4,,P78352
DLX1,,P56177
DLX2,,Q07687
DLX3,,O60479
DLX4,,Q92988
DLX5,,P56178
DLX6,,P56179
DMAP1,,Q9NPF5
DMBX1,,Q8NFW5
DMC1,,Q14565
DMD,,P11532
DMPK,,Q09013
DMRT1,,Q9Y5R6
DMRT2,,Q9Y5R5
DMRT3,,Q9NQL9
DMRTA1,,Q5VZB9
DMRTA2,,Q96SC8
DMRTB1,,Q96MA1
DMRTC2,,Q8IXT2
DMTF1,,Q9Y222
DNA2,,P51530
DNAJC1,,Q96KC8
DNAJC2,,Q99543
DNASE1,,P24855
DNM1,,Q05193
DNM1L,,O00429
DNM2,,P50570
DNMT1,0.00670100516466666,P26358
DNMT3A,,Q9Y6K1
DNMT3B,,Q9UBC3
DNPEP,,Q9ULA0
DOT1L,,Q8TEK3
DPEP1,,P16444
DPF2,,Q92785
DPP4,,P27487
DPP7,,Q9UHL4
DPP8,,Q6V1X1
DPYD,,Q12882
DR1,,Q01658
DRAP1,,Q14919
DRD1,,P21728
DRD2,,P14416
DRD3,,P35462
DRD4,,P21917
DRD5,,P21918
DRGX,,A6NNA5
DSTYK,,Q6XUX3
DTX1,,Q86Y01
DTX4,,Q9Y2E6
DUSP1,,P28562
DUSP6,,Q16828
DUT,,P33316
DUX4,,Q9UBX2
DUX4L4,,P0CJ87
DUXA,,A6NLW8
DYRK1A,,Q13627
DYRK1B,0.005796249975634079,Q9Y463
DYRK2,,Q92630
DYRK3,,O43781
EARS2,,Q5JPH6
EBF1,,Q9UH73
EBF2,,Q9HAK2
EBF3,,Q9H4W6
EBF4,,Q9BQW3
EBP,,Q15125
ECD,,O95905
ECE1,,P42892
ECE2,,P0DPD6
ECEL1,,O95672
EDF1,,O60869
EDN1,,P05305
EDNRA,,P25101
EDNRB,,P24530
EED,,O75530
EEF1A1,,P68104
EEF2,,P13639
EFL1,,Q7Z2Z2
EFTUD1,,None
EFTUD2,,Q15029
EGF,,P01133
EGFR,,P00533
EGLN1,,Q9GZT9
EGLN2,,Q96KS0
EGLN3,,Q9H6Z9
EGR1,,P18146
EGR2,,P11161
EGR3,,Q06889
EGR4,,Q05215
EHF,,Q9NZC4
EHMT1,-0.04836561013870296,Q9H9B1
EHMT2,-0.017072310914931322,Q96KQ7
EID1,,Q9Y6B2
EID2,,Q8N6I1
EIF2A,,Q9BY44
EIF2AK3,,Q9NZJ5
EIF2AK4,,Q9P2K8
EIF2S1,,P05198
EIF4A1,,P60842
EIF4E,,P06730
EIF4EBP1,,Q13541
EIF4G1,,Q04637
EIF5A,,P63241
ELANE,,P08246
ELF1,,P32519
ELF2,,Q15723
ELF3,,P78545
ELF4,,Q99607
ELF5,,Q9UKW6
ELK1,0.007106664348509314,P19419
ELK3,,P41970
ELK4,,P28324
ELN,,P15502
ELOB,,Q15370
ELOVL3,,Q9HB03
ELOVL4,,Q9GZR5
ELP1,,O95163
ELP2,,Q6IA86
EMX1,,Q04741
EMX2,,Q04743
EN1,,Q05925
EN2,,P19622
ENG,,P17813
ENO1,,P06733
ENO2,,P09104
ENOX2,,Q16206
ENPEP,,Q07075
ENPP1,,P22413
ENPP2,,Q13822
ENPP7,,Q6UWV6
ENTPD1,,P49961
ENTPD2,,Q9Y5L3
ENTPD3,,O75355
ENY2,,Q9NPA8
EOMES,,O95936
EP300,0.004330412876398339,Q09472
EP400,,Q96L91
EPAS1,,Q99814
EPC1,,Q9H2F5
EPC2,,Q52LR7
EPHA1,,P21709
EPHA10,,Q5JZY3
EPHA2,,P29317
EPHA3,,P29320
EPHA4,,P54764
EPHA5,,P54756
EPHA6,,Q9UF33
EPHA7,,Q15375
EPHA8,,P29322
EPHB1,,P54762
EPHB2,,P29323
EPHB3,,P54753
EPHB4,,P54760
EPHB6,,O15197
EPHX1,,P07099
EPHX2,,P34913
EPO,,P01588
EPOR,,P19235
EPRS,,None
EPX,,P11678
ERBB2,0.01719305602092732,P04626
ERBB3,,P21860
ERBB4,-0.04503982244241361,Q15303
ERCC1,,P07992
ERCC2,,P18074
ERCC3,,P19447
ERF,,P50548
ERG,,P11308
ERG1,,None
ERG11,,None
ERG7,,None
ERN1,,O75460
ERO1A,,Q96HE7
ESD,,P10768
ESR1,0.024935243052400892,P03372
ESR2,0.05111210109797374,Q92731
ESRRA,0.02509192637633633,P11474
ESRRB,-0.004011570006488982,O95718
ESRRG,-0.030989109625658547,P62508
ESX1,,Q8N693
ETHE1,,O95571
ETS1,,P14921
ETS2,,P15036
ETV1,,P50549
ETV2,,O00321
ETV3,,P41162
ETV3L,,Q6ZN32
ETV4,,P43268
ETV5,,P41161
ETV6,,P41212
ETV7,,Q9Y603
EVX1,,P49640
EVX2,,Q03828
EWSR1,0.005732254716769764,Q01844
EXP-1,,None
EYA1,,Q99502
EYA2,,O00167
EYA3,,Q99504
EZH1,,Q92800
EZH2,,Q15910
EZR,,P15311
FAAH,,O00519
FAAH2,,Q6GMR7
FABP2,,P12104
FABP4,,P15090
FABP6,,P51161
FADS1,,O60427
FADS2,,O95864
FANCD2,,Q9BXW9
FAP,,Q12884
FAS,,P25445
FASLG,,P48023
FASN,,P49327
FBP1,,P09467
FCER1A,,P12319
FCER1G,,P30273
FCGR1A,,P12314
FCGR1B,,Q92637
FCGR2A,,P12318
FCGR2B,,P31994
FCGR2C,,P31995
FCGR3A,,P08637
FCGR3B,,O75015
FDFT1,,P37268
FDPS,,P14324
FECH,,P22830
FER,,P16591
FERD3L,,Q96RJ6
FES,,P07332
FEV,,Q99581
FEZF1,,A0PJY2
FEZF2,,Q8TBJ5
FFAR1,,O14842
FFAR2,,O15552
FFAR3,,O14843
FFAR4,,Q5NUL3
FGA,,P02671
FGB,,P02675
FGF1,,P05230
FGF2,,P09038
FGF20,,Q9NP95
FGF21,,Q9NSA1
FGF23,,Q9GZV9
FGF4,,P08620
FGFR1,,P11362
FGFR1OP,,None
FGFR2,,P21802
FGFR3,,P22607
FGFR4,,P22455
FGFRL1,,Q8N441
FGG,,P02679
FGR,,P09769
FHIT,,P49789
FHL1,,Q13642
FHL2,,Q14192
FHL5,,Q5TD97
FIGLA,,Q6QHK4
FIZ1,,Q96SL8
FKBP1A,,P62942
FKBP1B,,P68106
FKBP2,,P26885
FKBP3,,Q00688
FKBP4,,Q02790
FLI1,-0.004850076094810952,Q01543
FLNA,,P21333
FLT1,,P17948
FLT3,,P36888
FLT4,,P35916
FN1,,P02751
FNTA,,P49354
FNTB,,P49356
FOL1,,None
FOLH1,,Q04609
FOLR1,,P15328
FOS,0.025240094391608816,P01100
FOSB,,P53539
FOSL1,,P15407
FOSL2,,P15408
FOXA1,,P55317
FOXA2,,Q9Y261
FOXA3,,P55318
FOXB1,,Q99853
FOXB2,,Q5VYV0
FOXC1,,Q12948
FOXC2,,Q99958
FOXD1,,Q16676
FOXD2,,O60548
FOXD3,,Q9UJU5
FOXD4,,Q12950
FOXD4L1,,Q9NU39
FOXD4L3,,Q6VB84
FOXD4L4,,Q8WXT5
FOXD4L5,,Q5VV16
FOXE1,,O00358
FOXE3,,Q13461
FOXF1,,Q12946
FOXF2,,Q12947
FOXG1,,P55316
FOXH1,,O75593
FOXI1,,Q12951
FOXI2,,Q6ZQN5
FOXI3,,A8MTJ6
FOXJ1,,Q92949
FOXJ2,,Q9P0K8
FOXJ3,,Q9UPW0
FOXK1,,P85037
FOXK2,,Q01167
FOXL1,,Q12952
FOXL2,,P58012
FOXL3,,FOXL3
FOXM1,0.025035764301219596,Q08050
FOXN1,,O15353
FOXN2,,P32314
FOXN3,,O00409
FOXN4,,Q96NZ1
FOXO1,0.004424031707932025,Q12778
FOXO3,0.0,O43524
FOXO3B,,A0A2Z4LIS9
FOXO4,,P98177
FOXO6,,A8MYZ6
FOXP1,,Q9H334
FOXP2,,O15409
FOXP3,,Q9BZS1
FOXP4,,Q8IVH2
FOXQ1,,Q9C009
FOXR1,,Q6PIV2
FOXR2,,Q6PJQ5
FOXS1,,O43638
FPGS,,Q05932
FPR1,,P21462
FPR2,,P25090
FRAT1,,Q92837
FRAT2,,O75474
FRK,,P42685
FSHB,,P01225
FSHR,,P23945
FTCD,,O95954
FTL,,P02792
FUBP1,,Q96AE4
FURIN,,P09958
FUT8,,Q9BYC5
FXYD2,,P54710
FYN,,P06241
FZD5,,Q13467
GAA,,P10253
GABBR1,,Q9UBS5
GABBR2,,O75899
GABPA,,Q06546
GABPB1,,Q06547
GABRA1,,P14867
GABRA2,,P47869
GABRA3,,P34903
GABRA4,,P48169
GABRA5,,P31644
GABRA6,,Q16445
GABRB1,,P18505
GABRB2,,P47870
GABRB3,,P28472
GABRD,,O14764
GABRE,,P78334
GABRG1,,Q8N1C3
GABRG2,,P18507
GABRG3,,Q99928
GABRP,,O00591
GABRQ,,Q9UN88
GABRR1,,P24046
GABRR2,,P28476
GABRR3,,A8MPY1
GAD1,,Q99259
GAD2,,Q05329
GAD65,,None
GADD45A,,P24522
GAK,,O14976
GAL,,P22466
GALE,,Q14376
GALNS,,P34059
GALR1,,P47211
GALR2,,O43603
GALR3,,O60755
GAMT,,Q14353
GANAB,,Q14697
GANC,,Q8TET4
GAPDH,,P04406
GARS,,None
GART,,P22102
GAST,,P01350
GATA1,0.0,P15976
GATA2,,P23769
GATA3,,P23771
GATA4,,P43694
GATA5,,Q9BWX5
GATA6,,Q92908
GATAD1,,Q8WUU5
GATAD2A,,Q86YP4
GATAD2B,,Q8WXI9
GATB,,O75879
GATM,,P50440
GBA,,P04062
GBA2,,Q9HCG7
GBF1,,Q92538
GBX1,,Q14549
GBX2,,P52951
GCAT,,O75600
GCFC2,,P16383
GCG,,P01275
GCGR,,P47871
GCH1,,P30793
GCHFR,,P30047
GCK,,P35557
GCKR,,Q14397
GCLC,,P48506
GCLM,,P48507
GCM1,,Q9NP62
GCM2,,O75603
GCSH,,P23434
GDA,,Q9Y2T3
GDF15,,Q99988
GDNF,,P39905
GEM,,P55040
GFAP,,P14136
GFI1,,Q99684
GFI1B,,Q5VTD9
GFM1,,Q96RP9
GFM2,,Q969S9
GFPT1,,Q06210
GFRA2,,O00451
GGCX,,P38435
GGPS1,,O95749
GGT1,,P19440
GGT5,,P36269
GH1,,P01241
GHR,,P10912
GHRHR,,Q02643
GHRL,,Q9UBU3
GHSR,,Q92847
GIP,,P09681
GIT2,,Q14161
GJA1,,P17302
GJA10,,Q969M2
GJA3,,Q9Y6H8
GJA4,,P35212
GJA5,,P36382
GJA8,,P48165
GJA9,,P57773
GJB1,,P08034
GJB2,,P29033
GJB3,,O75712
GJB4,,Q9NTQ9
GJB5,,O95377
GJB6,,O95452
GJB7,,Q6PEY0
GJC1,,P36383
GJC2,,Q5T442
GJC3,,Q8NFK1
GJD2,,Q9UKL4
GJD3,,Q8N144
GJD4,,Q96KN9
GJE1,,A6NN92
GLA,,P06280
GLB1,,P16278
GLDC,,P23378
GLI1,0.0047255601517647485,P08151
GLI2,-0.03236811050683182,P10070
GLI3,,P10071
GLI4,,P10075
GLIPR1,,P48060
GLIS1,,Q8NBF1
GLIS2,,Q9BZE0
GLIS3,,Q8NEA6
GLMP,,Q8WWB7
GLO1,,Q04760
GLP1R,,P43220
GLP2R,,O95838
GLRA1,,P23415
GLRA2,,P23416
GLRA3,,O75311
GLRB,,P48167
GLRX,,P35754
GLS,,O94925
GLS2,,Q9UI32
GLTP,,Q9NZD2
GLUD1,,P00367
GLUD2,,P49448
GLUL,,P15104
GLYAT,,Q6IB77
GLYATL1,,Q969I3
GLYATL2,,Q8WU03
GMEB1,,Q9Y692
GMEB2,,Q9UKD1
GMNN,,O75496
GMPS,,P49915
GNAI1,,P63096
GNAI2,,P04899
GNAI3,,P08754
GNAS,,Q5JWF2
GNAT3,,A8MTJ3
GNGT1,,P63211
GNL3L,,Q9NVN8
GNMT,,Q14749
GNPTAB,,Q3T906
GNRH1,,P01148
GNRHR,,P30968
GNRHR2,,Q96P88
GON4L,,Q3T8J9
GOT1,,P17174
GOT2,,P00505
GP9,,P14770
GPBAR1,,Q8TDU6
GPD2,,P43304
GPER1,,Q99527
GPI,,P06744
GPR119,,Q8TDV5
GPR12,,P47775
GPR139,,Q6DWJ6
GPR17,,Q13304
GPR18,,Q14330
GPR35,,Q9HC97
GPR39,,O43194
GPR50,,Q13585
GPR55,,Q9Y2T6
GPR65,,Q8IYL9
GPR84,,Q9NQS5
GPR97,,None
GPRC5A,,Q8NFJ5
GPRC6A,,Q5T6X5
GPS2,,Q13227
GPT,,P24298
GPT2,,Q8TD30
GPX1,,P07203
GPX2,,P18283
GPX3,,P22352
GPX4,,P36969
GRB2,,P62993
GREB1,,Q4ZG55
GRHL1,,Q9NZI5
GRHL2,,Q6ISB3
GRHL3,,Q8TE85
GRIA1,,P42261
GRIA2,,P42262
GRIA3,,P42263
GRIA4,,P48058
GRID1,,Q9ULK0
GRID2,,O43424
GRIK1,,P39086
GRIK2,,Q13002
GRIK3,,Q13003
GRIK4,,Q16099
GRIK5,,Q16478
GRIN1,,Q05586
GRIN2A,,Q12879
GRIN2B,,Q13224
GRIN2C,,Q14957
GRIN2D,,O15399
GRIN3A,,Q8TCU5
GRIN3B,,O60391
GRIP1,,Q9Y3R0
GRK2,,P25098
GRK3,,P35626
GRK4,,P32298
GRK5,,P34947
GRK6,,P43250
GRK7,,Q8WTQ7
GRM1,,Q13255
GRM2,,Q14416
GRM3,,Q14832
GRM4,,Q14833
GRM5,,P41594
GRM6,,O15303
GRM7,,Q14831
GRM8,,O00222
GRPR,,P30550
GSC,,P56915
GSC2,,O15499
GSG2,,None
GSK3A,,P49840
GSK3B,,P49841
GSN,,P06396
GSR,,P00390
GSS,,P48637
GSTA1,,P08263
GSTA4,,O15217
GSTM1,,P09488
GSTM2,,P28161
GSTM3,,P21266
GSTM4,,Q03013
GSTO1,,P78417
GSTP1,,P09211
GSTZ1,,O43708
GSX1,,Q9H4S2
GSX2,,Q9BZM3
GTF2A1,,P52655
GTF2A1L,,Q9UNN4
GTF2A2,,P52657
GTF2E1,,P29083
GTF2F1,,P35269
GTF2I,,P78347
GTF2IRD1,,Q9UHL9
GTF2IRD2,,Q86UP8
GTF2IRD2B,,Q6EKJ0
GTF3A,,Q92664
GUCA1A,,P43080
GUCA1B,,Q9UMX6
GUCY1A1,,Q02108
GUCY1A2,,P33402
GUCY1A3,,None
GUCY1B1,,Q02153
GUCY1B2,,O75343
GUCY1B3,,None
GUCY2C,,P25092
GUCY2D,,Q02846
GUCY2F,,P51841
GUSB,,P08236
GYG1,,P46976
GYS1,,P13807
GZF1,,Q9H116
GZMA,,P12544
GZMB,,P10144
GZMH,,P20718
GZMM,,P51124
HAAO,,P46952
HABP4,,Q5JVS0
HAGH,,Q16775
HAL,,P42357
HAND1,,O96004
HAND2,,P61296
HASPIN,,Q8TF76
HBA1,,141800
HBA2,,P69905
HBB,,P68871
HBE1,,P02100
HBG1,,P69891
HBG2,,P69892
HBM,,Q6B0K9
HBP1,,O60381
HBQ1,,P09105
HBZ,,P02008
HCAR2,,Q8TDS4
HCAR3,,P49019
HCFC1,,P51610
HCFC2,,Q9Y5Z7
HCK,,P08631
HCN1,,O60741
HCN2,,Q9UL51
HCN3,,Q9P1Z3
HCN4,,Q9Y3Q4
HCRT,,O43612
HCRTR1,,O43613
HCRTR2,,O43614
HDAC1,-0.11720359093940445,Q13547
HDAC10,-0.0007110288923331471,Q969S8
HDAC11,-0.032922106285141584,Q96DB2
HDAC2,0.016467362887790087,Q92769
HDAC3,-0.1538970408738073,O15379
HDAC4,-0.028013569678381027,P56524
HDAC5,-0.08530711954497178,Q9UQL6
HDAC6,0.05014476992081488,Q9UBN7
HDAC7,-0.029739180737679557,Q8WUI4
HDAC8,-0.002283912724987992,Q9BY41
HDAC9,-0.009607943955374272,Q9UKV0
HDC,,P19113
HDGF,,P51858
HDX,,Q7Z353
HELT,,A6NFD8
HELZ2,,Q9BYK8
HEPH,,Q9BQS7
HEPHL1,,Q6MZM0
HES1,-0.03802639435193004,Q14469
HES2,,Q9Y543
HES3,,Q5TGS1
HES4,,Q9HCC6
HES5,,Q5TA89
HES6,,Q96HZ4
HES7,,Q9BYE0
HESX1,,Q9UBX0
HEXA,,P06865
HEY1,,Q9Y5J3
HEY2,,Q9UBP5
HEYL,,Q9NQ87
HFE,,Q30201
HGF,,P14210
HGS,,O14964
HHAT,,Q5VTY9
HHEX,,Q03014
HIBCH,,Q6NVY1
HIC1,,Q14526
HIC2,,Q96JB3
HIF1A,-0.019530592955008655,Q16665
HIF1AN,,Q9NWT6
HIF3A,,Q9Y2N7
HINFP,,Q9BQA5
HINT1,,P49773
HIPK1,,Q86Z02
HIPK2,0.029194889474614998,Q9H2X6
HIPK3,-0.0010945063075917623,Q9H422
HIPK4,,Q8NE63
HIRA,,P54198
HIST4H4,,None
HIV-1 protease,,None
HIVEP1,,P15822
HIVEP2,,P31629
HIVEP3,,Q5T1R4
HK1,,P19367
HK2,,P52789
HKR1,,None
HLA-A,,P04439
HLA-B,,P01889
HLA-C,,P10321
HLA-DRB1,,P01911
HLA-G,,P17693
HLF,,Q16534
HLTF,,Q14527
HLX,,Q14774
HMBOX1,,Q6NT76
HMBS,,P08397
HMG20A,,Q9NP66
HMG20B,,Q9P0W2
HMGA1,,P17096
HMGA2,,P52926
HMGB1,,P09429
HMGB2,,P26583
HMGB3,,O15347
HMGB4,,Q8WW32
HMGCR,,P04035
HMGCS1,,Q01581
HMGCS2,,P54868
HMGN3,,Q15651
HMGXB3,,Q12766
HMGXB4,,Q9UGU5
HMOX1,,P09601
HMOX2,,P30519
HMX1,,Q9NP08
HMX2,,A2RU54
HMX3,,A6NHT5
HNF1A,,P20823
HNF1B,,P35680
HNF4A,-0.0021599778447009225,P41235
HNF4G,,Q14541
HNMT,,P50135
HNRNPD,,Q14103
HOMEZ,,Q8IX15
HOPX,,Q9BPY8
HOXA1,,P49639
HOXA10,,P31260
HOXA11,,P31270
HOXA13,,P31271
HOXA2,,O43364
HOXA3,,O43365
HOXA4,,Q00056
HOXA5,,P20719
HOXA6,,P31267
HOXA7,,P31268
HOXA9,,P31269
HOXB1,,P14653
HOXB13,,Q92826
HOXB2,,P14652
HOXB3,,P14651
HOXB4,,P17483
HOXB5,,P09067
HOXB6,,P17509
HOXB7,,P09629
HOXB8,,P17481
HOXB9,,P17482
HOXC10,,Q9NYD6
HOXC11,,O43248
HOXC12,,P31275
HOXC13,,P31276
HOXC4,,P09017
HOXC5,,Q00444
HOXC6,,P09630
HOXC8,,P31273
HOXC9,,P31274
HOXD1,,Q9GZZ0
HOXD10,,P28358
HOXD11,,P31277
HOXD12,,P35452
HOXD13,,P35453
HOXD3,,P31249
HOXD4,,P09016
HOXD8,,P13378
HOXD9,,P28356
HPD,,P32754
HPGD,,P15428
HPGDS,,O60760
HPN,,P05981
HPR,,P00739
HPRT1,,P00492
HPSE,,Q9Y251
HRAS,,P01112
HRG,,P04196
HRH1,,P35367
HRH2,,P25021
HRH3,,Q9Y5N1
HRH4,,Q9H3N8
HS3ST3A1,,Q9Y663
HS6ST1,,O60243
HSBP1,,O75506
HSD11B1,,P28845
HSD11B2,,P80365
HSD17B1,,P14061
HSD17B3,,P37058
HSD17B7,,P56937
HSD3B1,,P14060
HSD3B2,,P26439
HSF1,-0.0035318591485370677,Q00613
HSF2,,Q03933
HSF4,,Q9ULV5
HSF5,,Q4G112
HSFX1,,HSFX1
HSFX2,,Q9UBD0
HSFY1,,400029
HSFY2,,Q96LI6
HSP90AA1,,P07900
HSP90AA2,,None
HSP90AB1,,P08238
HSP90B1,,P14625
HSPA1A,,P0DMV8
HSPA1B,,P0DMV9
HSPA1L,,P34931
HSPA2,,P54652
HSPA5,,P11021
HSPA8,,P11142
HSPB1,,P04792
HSPB2-C11orf52,,HSPB2-C11orf52
HSPD1,,P10809
HTATIP2,,Q9BUP3
HTR1A,,P08908
HTR1B,,P28222
HTR1D,,P28221
HTR1E,,P28566
HTR1F,,P30939
HTR2A,,P28223
HTR2B,,P41595
HTR2C,,P28335
HTR3A,,P46098
HTR3B,,O95264
HTR3C,,Q8WXA8
HTR3D,,Q70Z44
HTR3E,,A5X5Y0
HTR4,,Q13639
HTR5A,,P47898
HTR6,,P50406
HTR7,,P34969
HTT,,P42858
HUNK,,P57058
IAPP,,P10997
IARS1,,P41252
ICAM1,,P05362
ID1,,P41134
ID2,,Q02363
ID3,,Q02535
ID4,,P47928
IDE,,P14735
IDH1,,O75874
IDH2,,P48735
IDI1,,Q13907
IDO1,,P14902
IDUA,,P35475
IFFO2,,Q5TF58
IFI16,,Q16666
IFNA1,,147660
IFNAR1,,P17181
IFNAR2,,P48551
IFNB1,,P01574
IFNG,,P01579
IGF1,,P05019
IGF1R,,P08069
IGF2,,P01344
IGFBP1,,P08833
IGFBP2,,P18065
IGFBP3,,P17936
IGFBP4,,P22692
IHH,,Q14623
IKBKAP,,None
IKBKB,,O14920
IKBKE,,Q14164
IKBKG,,Q9Y6K9
IKZF1,0.003080972445050455,Q13422
IKZF2,,Q9UKS7
IKZF3,,Q9UKT9
IKZF4,,Q9H2S9
IKZF5,,Q9H5V7
IL10,,P22301
IL11RA,,Q14626
IL12A,,P29459
IL12B,,P29460
IL13,,P35225
IL16,,Q14005
IL17A,,Q16552
IL18,,Q14116
IL1A,,P01583
IL1B,,P01584
IL1R1,,P14778
IL1R2,,P27930
IL1RN,,P18510
IL2,,P60568
IL23A,,Q9NPF7
IL24,,Q13007
IL2RA,,P01589
IL2RB,,P14784
IL2RG,,P31785
IL3,,P08700
IL31RA,,Q8NI17
IL3RA,,P26951
IL4,,P05112
IL4I1,,Q96RQ9
IL4R,,P24394
IL5,,P05113
IL5RA,,Q01344
IL6,,P05231
IL6R,,P08887
IL6ST,,P40189
ILF2,,Q12905
ILK,,Q13418
IMPA1,,P29218
IMPA2,,O14732
IMPDH1,,P20839
IMPDH2,,P12268
INCENP,,Q9NQS7
ING1,,Q9UK53
ING2,,Q9H160
ING3,,Q9NXR8
ING4,,Q9UNL4
ING5,,Q8WYH8
INPP5A,,Q14642
INPP5D,,Q92835
INS,,P01308
INSM1,,Q01101
INSM2,,Q96T92
INSR,-0.03567470096881874,P06213
INSRR,,P14616
IRAK1,,P51617
IRAK4,,Q9NWZ3
